Serial Number,MY59420041,
Model Number,U1272A,
Remark,-,
Date Time,3/10/2021 2:06:20 PM
Record,Time,Function,Reading,Range,Unit
1,3/10/2021 12:25:37.724,Temperature {NONE},95.4, °C,°C
2,3/10/2021 12:25:38.726,Temperature {NONE},95.4, °C,°C
3,3/10/2021 12:25:39.726,Temperature {NONE},95.4, °C,°C
4,3/10/2021 12:25:40.728,Temperature {NONE},95.3, °C,°C
5,3/10/2021 12:25:41.729,Temperature {NONE},95.4, °C,°C
6,3/10/2021 12:25:42.731,Temperature {NONE},95.4, °C,°C
7,3/10/2021 12:25:43.732,Temperature {NONE},95.4, °C,°C
8,3/10/2021 12:25:44.732,Temperature {NONE},95.3, °C,°C
9,3/10/2021 12:25:45.732,Temperature {NONE},95.2, °C,°C
10,3/10/2021 12:25:46.734,Temperature {NONE},95.2, °C,°C
11,3/10/2021 12:25:47.735,Temperature {NONE},95.1, °C,°C
12,3/10/2021 12:25:48.737,Temperature {NONE},95.1, °C,°C
13,3/10/2021 12:25:49.738,Temperature {NONE},95.1, °C,°C
14,3/10/2021 12:25:50.739,Temperature {NONE},95.0, °C,°C
15,3/10/2021 12:25:51.740,Temperature {NONE},95.0, °C,°C
16,3/10/2021 12:25:52.742,Temperature {NONE},95.1, °C,°C
17,3/10/2021 12:25:53.744,Temperature {NONE},95.0, °C,°C
18,3/10/2021 12:25:54.745,Temperature {NONE},95.0, °C,°C
19,3/10/2021 12:25:55.745,Temperature {NONE},94.9, °C,°C
20,3/10/2021 12:25:56.746,Temperature {NONE},94.9, °C,°C
21,3/10/2021 12:25:57.747,Temperature {NONE},94.9, °C,°C
22,3/10/2021 12:25:58.748,Temperature {NONE},94.9, °C,°C
23,3/10/2021 12:25:59.749,Temperature {NONE},94.9, °C,°C
24,3/10/2021 12:26:00.750,Temperature {NONE},94.9, °C,°C
25,3/10/2021 12:26:01.751,Temperature {NONE},94.9, °C,°C
26,3/10/2021 12:26:02.752,Temperature {NONE},94.9, °C,°C
