Serial Number,MY59420041,
Model Number,U1272A,
Remark,-,
Date Time,3/10/2021 12:24:53 PM
Record,Time,Function,Reading,Range,Unit
1,3/10/2021 12:17:18.861,Temperature {NONE},26.0, °C,°C
2,3/10/2021 12:17:19.861,Temperature {NONE},26.0, °C,°C
3,3/10/2021 12:17:20.863,Temperature {NONE},26.0, °C,°C
4,3/10/2021 12:17:21.864,Temperature {NONE},26.0, °C,°C
5,3/10/2021 12:17:22.865,Temperature {NONE},26.0, °C,°C
6,3/10/2021 12:17:23.867,Temperature {NONE},26.0, °C,°C
7,3/10/2021 12:17:24.868,Temperature {NONE},26.0, °C,°C
8,3/10/2021 12:17:25.869,Temperature {NONE},26.0, °C,°C
9,3/10/2021 12:17:26.870,Temperature {NONE},26.0, °C,°C
10,3/10/2021 12:17:27.871,Temperature {NONE},26.0, °C,°C
11,3/10/2021 12:17:28.873,Temperature {NONE},26.1, °C,°C
12,3/10/2021 12:17:29.875,Temperature {NONE},26.1, °C,°C
13,3/10/2021 12:17:30.876,Temperature {NONE},26.1, °C,°C
14,3/10/2021 12:17:31.877,Temperature {NONE},26.0, °C,°C
15,3/10/2021 12:17:32.878,Temperature {NONE},26.0, °C,°C
16,3/10/2021 12:17:33.879,Temperature {NONE},26.0, °C,°C
17,3/10/2021 12:17:34.880,Temperature {NONE},26.0, °C,°C
18,3/10/2021 12:17:35.881,Temperature {NONE},26.0, °C,°C
19,3/10/2021 12:17:36.883,Temperature {NONE},26.1, °C,°C
20,3/10/2021 12:17:37.884,Temperature {NONE},26.1, °C,°C
21,3/10/2021 12:17:38.885,Temperature {NONE},26.1, °C,°C
22,3/10/2021 12:17:39.887,Temperature {NONE},26.1, °C,°C
23,3/10/2021 12:17:40.888,Temperature {NONE},28.4, °C,°C
24,3/10/2021 12:17:41.890,Temperature {NONE},28.2, °C,°C
25,3/10/2021 12:17:42.890,Temperature {NONE},28.2, °C,°C
26,3/10/2021 12:17:43.891,Temperature {NONE},27.9, °C,°C
27,3/10/2021 12:17:44.893,Temperature {NONE},28.0, °C,°C
28,3/10/2021 12:17:45.895,Temperature {NONE},26.5, °C,°C
29,3/10/2021 12:17:46.896,Temperature {NONE},26.5, °C,°C
30,3/10/2021 12:17:47.897,Temperature {NONE},27.7, °C,°C
31,3/10/2021 12:17:48.898,Temperature {NONE},27.8, °C,°C
32,3/10/2021 12:17:49.900,Temperature {NONE},27.8, °C,°C
33,3/10/2021 12:17:50.902,Temperature {NONE},27.6, °C,°C
34,3/10/2021 12:17:51.902,Temperature {NONE},27.5, °C,°C
35,3/10/2021 12:17:52.902,Temperature {NONE},27.4, °C,°C
36,3/10/2021 12:17:53.903,Temperature {NONE},28.8, °C,°C
37,3/10/2021 12:17:54.904,Temperature {NONE},28.7, °C,°C
38,3/10/2021 12:17:55.905,Temperature {NONE},28.8, °C,°C
39,3/10/2021 12:17:56.906,Temperature {NONE},28.5, °C,°C
40,3/10/2021 12:17:57.907,Temperature {NONE},29.8, °C,°C
41,3/10/2021 12:17:58.908,Temperature {NONE},29.8, °C,°C
42,3/10/2021 12:17:59.908,Temperature {NONE},29.7, °C,°C
43,3/10/2021 12:18:00.909,Temperature {NONE},30.1, °C,°C
44,3/10/2021 12:18:01.909,Temperature {NONE},30.2, °C,°C
45,3/10/2021 12:18:02.911,Temperature {NONE},30.3, °C,°C
46,3/10/2021 12:18:03.913,Temperature {NONE},30.3, °C,°C
47,3/10/2021 12:18:04.914,Temperature {NONE},30.5, °C,°C
48,3/10/2021 12:18:05.915,Temperature {NONE},31.0, °C,°C
49,3/10/2021 12:18:06.916,Temperature {NONE},31.4, °C,°C
50,3/10/2021 12:18:07.916,Temperature {NONE},31.2, °C,°C
51,3/10/2021 12:18:08.918,Temperature {NONE},31.0, °C,°C
52,3/10/2021 12:18:09.920,Temperature {NONE},31.5, °C,°C
53,3/10/2021 12:18:10.921,Temperature {NONE},32.6, °C,°C
54,3/10/2021 12:18:11.921,Temperature {NONE},32.9, °C,°C
55,3/10/2021 12:18:12.923,Temperature {NONE},36.7, °C,°C
56,3/10/2021 12:18:13.924,Temperature {NONE},37.6, °C,°C
57,3/10/2021 12:18:14.925,Temperature {NONE},34.7, °C,°C
58,3/10/2021 12:18:15.925,Temperature {NONE},34.8, °C,°C
59,3/10/2021 12:18:16.926,Temperature {NONE},34.4, °C,°C
60,3/10/2021 12:18:17.927,Temperature {NONE},34.4, °C,°C
61,3/10/2021 12:18:18.928,Temperature {NONE},37.3, °C,°C
62,3/10/2021 12:18:19.930,Temperature {NONE},40.9, °C,°C
63,3/10/2021 12:18:20.931,Temperature {NONE},37.0, °C,°C
64,3/10/2021 12:18:21.932,Temperature {NONE},35.2, °C,°C
65,3/10/2021 12:18:22.934,Temperature {NONE},35.1, °C,°C
66,3/10/2021 12:18:23.935,Temperature {NONE},36.5, °C,°C
67,3/10/2021 12:18:24.937,Temperature {NONE},37.5, °C,°C
68,3/10/2021 12:18:25.938,Temperature {NONE},38.1, °C,°C
69,3/10/2021 12:18:26.940,Temperature {NONE},37.3, °C,°C
70,3/10/2021 12:18:27.940,Temperature {NONE},36.9, °C,°C
71,3/10/2021 12:18:28.942,Temperature {NONE},36.7, °C,°C
72,3/10/2021 12:18:29.943,Temperature {NONE},37.7, °C,°C
73,3/10/2021 12:18:30.945,Temperature {NONE},37.7, °C,°C
74,3/10/2021 12:18:31.946,Temperature {NONE},45.2, °C,°C
75,3/10/2021 12:18:32.947,Temperature {NONE},41.1, °C,°C
76,3/10/2021 12:18:33.947,Temperature {NONE},38.7, °C,°C
77,3/10/2021 12:18:34.948,Temperature {NONE},38.4, °C,°C
78,3/10/2021 12:18:35.950,Temperature {NONE},38.3, °C,°C
79,3/10/2021 12:18:36.951,Temperature {NONE},38.7, °C,°C
80,3/10/2021 12:18:37.952,Temperature {NONE},39.2, °C,°C
81,3/10/2021 12:18:38.953,Temperature {NONE},39.4, °C,°C
82,3/10/2021 12:18:39.954,Temperature {NONE},39.5, °C,°C
83,3/10/2021 12:18:40.955,Temperature {NONE},41.8, °C,°C
84,3/10/2021 12:18:41.956,Temperature {NONE},40.6, °C,°C
85,3/10/2021 12:18:42.958,Temperature {NONE},42.0, °C,°C
86,3/10/2021 12:18:43.959,Temperature {NONE},41.5, °C,°C
87,3/10/2021 12:18:44.960,Temperature {NONE},41.5, °C,°C
88,3/10/2021 12:18:45.961,Temperature {NONE},41.3, °C,°C
89,3/10/2021 12:18:46.963,Temperature {NONE},41.1, °C,°C
90,3/10/2021 12:18:47.964,Temperature {NONE},41.3, °C,°C
91,3/10/2021 12:18:48.965,Temperature {NONE},43.3, °C,°C
92,3/10/2021 12:18:49.966,Temperature {NONE},43.0, °C,°C
93,3/10/2021 12:18:50.967,Temperature {NONE},43.6, °C,°C
94,3/10/2021 12:18:51.968,Temperature {NONE},46.6, °C,°C
95,3/10/2021 12:18:52.970,Temperature {NONE},45.0, °C,°C
96,3/10/2021 12:18:53.970,Temperature {NONE},45.2, °C,°C
97,3/10/2021 12:18:54.971,Temperature {NONE},44.4, °C,°C
98,3/10/2021 12:18:55.972,Temperature {NONE},48.3, °C,°C
99,3/10/2021 12:18:56.973,Temperature {NONE},45.9, °C,°C
100,3/10/2021 12:18:57.973,Temperature {NONE},49.4, °C,°C
101,3/10/2021 12:18:58.975,Temperature {NONE},48.7, °C,°C
102,3/10/2021 12:18:59.975,Temperature {NONE},45.3, °C,°C
103,3/10/2021 12:19:00.977,Temperature {NONE},50.5, °C,°C
104,3/10/2021 12:19:01.978,Temperature {NONE},47.0, °C,°C
105,3/10/2021 12:19:02.980,Temperature {NONE},46.5, °C,°C
106,3/10/2021 12:19:03.981,Temperature {NONE},45.9, °C,°C
107,3/10/2021 12:19:04.982,Temperature {NONE},46.2, °C,°C
108,3/10/2021 12:19:05.982,Temperature {NONE},46.6, °C,°C
109,3/10/2021 12:19:06.983,Temperature {NONE},46.7, °C,°C
110,3/10/2021 12:19:07.984,Temperature {NONE},46.9, °C,°C
111,3/10/2021 12:19:08.985,Temperature {NONE},47.4, °C,°C
112,3/10/2021 12:19:09.987,Temperature {NONE},47.7, °C,°C
113,3/10/2021 12:19:10.988,Temperature {NONE},51.7, °C,°C
114,3/10/2021 12:19:11.989,Temperature {NONE},53.5, °C,°C
115,3/10/2021 12:19:12.991,Temperature {NONE},49.2, °C,°C
116,3/10/2021 12:19:13.992,Temperature {NONE},49.1, °C,°C
117,3/10/2021 12:19:14.994,Temperature {NONE},48.9, °C,°C
118,3/10/2021 12:19:15.995,Temperature {NONE},48.8, °C,°C
119,3/10/2021 12:19:16.996,Temperature {NONE},48.7, °C,°C
120,3/10/2021 12:19:17.997,Temperature {NONE},49.0, °C,°C
121,3/10/2021 12:19:18.998,Temperature {NONE},50.3, °C,°C
122,3/10/2021 12:19:19.999,Temperature {NONE},50.4, °C,°C
123,3/10/2021 12:19:21.001,Temperature {NONE},50.5, °C,°C
124,3/10/2021 12:19:22.002,Temperature {NONE},52.8, °C,°C
125,3/10/2021 12:19:23.004,Temperature {NONE},51.4, °C,°C
126,3/10/2021 12:19:24.005,Temperature {NONE},51.5, °C,°C
127,3/10/2021 12:19:25.006,Temperature {NONE},51.4, °C,°C
128,3/10/2021 12:19:26.007,Temperature {NONE},51.2, °C,°C
129,3/10/2021 12:19:27.009,Temperature {NONE},51.1, °C,°C
130,3/10/2021 12:19:28.010,Temperature {NONE},51.3, °C,°C
131,3/10/2021 12:19:29.011,Temperature {NONE},52.7, °C,°C
132,3/10/2021 12:19:30.012,Temperature {NONE},52.8, °C,°C
133,3/10/2021 12:19:31.014,Temperature {NONE},56.8, °C,°C
134,3/10/2021 12:19:32.014,Temperature {NONE},53.9, °C,°C
135,3/10/2021 12:19:33.016,Temperature {NONE},56.8, °C,°C
136,3/10/2021 12:19:34.017,Temperature {NONE},54.7, °C,°C
137,3/10/2021 12:19:35.018,Temperature {NONE},53.6, °C,°C
138,3/10/2021 12:19:36.019,Temperature {NONE},54.0, °C,°C
139,3/10/2021 12:19:37.020,Temperature {NONE},53.9, °C,°C
140,3/10/2021 12:19:38.022,Temperature {NONE},53.8, °C,°C
141,3/10/2021 12:19:39.023,Temperature {NONE},57.8, °C,°C
142,3/10/2021 12:19:40.023,Temperature {NONE},55.2, °C,°C
143,3/10/2021 12:19:41.025,Temperature {NONE},55.1, °C,°C
144,3/10/2021 12:19:42.026,Temperature {NONE},54.9, °C,°C
145,3/10/2021 12:19:43.027,Temperature {NONE},55.1, °C,°C
146,3/10/2021 12:19:44.028,Temperature {NONE},55.6, °C,°C
147,3/10/2021 12:19:45.030,Temperature {NONE},56.0, °C,°C
148,3/10/2021 12:19:46.031,Temperature {NONE},56.2, °C,°C
149,3/10/2021 12:19:47.032,Temperature {NONE},56.4, °C,°C
150,3/10/2021 12:19:48.033,Temperature {NONE},56.6, °C,°C
151,3/10/2021 12:19:49.034,Temperature {NONE},57.1, °C,°C
152,3/10/2021 12:19:50.035,Temperature {NONE},57.4, °C,°C
153,3/10/2021 12:19:51.036,Temperature {NONE},57.7, °C,°C
154,3/10/2021 12:19:52.036,Temperature {NONE},59.3, °C,°C
155,3/10/2021 12:19:53.038,Temperature {NONE},58.9, °C,°C
156,3/10/2021 12:19:54.038,Temperature {NONE},58.9, °C,°C
157,3/10/2021 12:19:55.038,Temperature {NONE},59.5, °C,°C
158,3/10/2021 12:19:56.039,Temperature {NONE},59.2, °C,°C
159,3/10/2021 12:19:57.040,Temperature {NONE},60.9, °C,°C
160,3/10/2021 12:19:58.041,Temperature {NONE},61.0, °C,°C
161,3/10/2021 12:19:59.043,Temperature {NONE},60.7, °C,°C
162,3/10/2021 12:20:00.043,Temperature {NONE},60.9, °C,°C
163,3/10/2021 12:20:01.043,Temperature {NONE},64.0, °C,°C
164,3/10/2021 12:20:02.045,Temperature {NONE},65.4, °C,°C
165,3/10/2021 12:20:03.046,Temperature {NONE},62.8, °C,°C
166,3/10/2021 12:20:04.048,Temperature {NONE},62.7, °C,°C
167,3/10/2021 12:20:05.049,Temperature {NONE},63.4, °C,°C
168,3/10/2021 12:20:06.049,Temperature {NONE},62.9, °C,°C
169,3/10/2021 12:20:07.050,Temperature {NONE},65.8, °C,°C
170,3/10/2021 12:20:08.051,Temperature {NONE},63.3, °C,°C
171,3/10/2021 12:20:09.052,Temperature {NONE},63.2, °C,°C
172,3/10/2021 12:20:10.054,Temperature {NONE},63.1, °C,°C
173,3/10/2021 12:20:11.055,Temperature {NONE},64.6, °C,°C
174,3/10/2021 12:20:12.057,Temperature {NONE},63.9, °C,°C
175,3/10/2021 12:20:13.057,Temperature {NONE},64.8, °C,°C
176,3/10/2021 12:20:14.058,Temperature {NONE},64.6, °C,°C
177,3/10/2021 12:20:15.059,Temperature {NONE},64.3, °C,°C
178,3/10/2021 12:20:16.060,Temperature {NONE},65.6, °C,°C
179,3/10/2021 12:20:17.061,Temperature {NONE},66.3, °C,°C
180,3/10/2021 12:20:18.062,Temperature {NONE},66.0, °C,°C
181,3/10/2021 12:20:19.064,Temperature {NONE},66.2, °C,°C
182,3/10/2021 12:20:20.064,Temperature {NONE},66.3, °C,°C
183,3/10/2021 12:20:21.064,Temperature {NONE},67.3, °C,°C
184,3/10/2021 12:20:22.066,Temperature {NONE},67.4, °C,°C
185,3/10/2021 12:20:23.068,Temperature {NONE},68.4, °C,°C
186,3/10/2021 12:20:24.068,Temperature {NONE},69.1, °C,°C
187,3/10/2021 12:20:25.069,Temperature {NONE},68.9, °C,°C
188,3/10/2021 12:20:26.071,Temperature {NONE},68.5, °C,°C
189,3/10/2021 12:20:27.073,Temperature {NONE},68.2, °C,°C
190,3/10/2021 12:20:28.073,Temperature {NONE},67.7, °C,°C
191,3/10/2021 12:20:29.074,Temperature {NONE},67.7, °C,°C
192,3/10/2021 12:20:30.075,Temperature {NONE},67.8, °C,°C
193,3/10/2021 12:20:31.076,Temperature {NONE},67.9, °C,°C
194,3/10/2021 12:20:32.076,Temperature {NONE},68.3, °C,°C
195,3/10/2021 12:20:33.077,Temperature {NONE},68.7, °C,°C
196,3/10/2021 12:20:34.079,Temperature {NONE},69.0, °C,°C
197,3/10/2021 12:20:35.080,Temperature {NONE},69.0, °C,°C
198,3/10/2021 12:20:36.080,Temperature {NONE},69.0, °C,°C
199,3/10/2021 12:20:37.081,Temperature {NONE},69.3, °C,°C
200,3/10/2021 12:20:38.082,Temperature {NONE},69.9, °C,°C
201,3/10/2021 12:20:39.084,Temperature {NONE},70.2, °C,°C
202,3/10/2021 12:20:40.085,Temperature {NONE},70.1, °C,°C
203,3/10/2021 12:20:41.087,Temperature {NONE},70.0, °C,°C
204,3/10/2021 12:20:42.088,Temperature {NONE},70.1, °C,°C
205,3/10/2021 12:20:43.089,Temperature {NONE},70.1, °C,°C
206,3/10/2021 12:20:44.089,Temperature {NONE},70.2, °C,°C
207,3/10/2021 12:20:45.091,Temperature {NONE},71.5, °C,°C
208,3/10/2021 12:20:46.092,Temperature {NONE},71.6, °C,°C
209,3/10/2021 12:20:47.093,Temperature {NONE},71.8, °C,°C
210,3/10/2021 12:20:48.093,Temperature {NONE},71.8, °C,°C
211,3/10/2021 12:20:49.095,Temperature {NONE},72.1, °C,°C
212,3/10/2021 12:20:50.096,Temperature {NONE},72.6, °C,°C
213,3/10/2021 12:20:51.098,Temperature {NONE},73.0, °C,°C
214,3/10/2021 12:20:52.098,Temperature {NONE},73.4, °C,°C
215,3/10/2021 12:20:53.100,Temperature {NONE},73.7, °C,°C
216,3/10/2021 12:20:54.100,Temperature {NONE},73.9, °C,°C
217,3/10/2021 12:20:55.101,Temperature {NONE},74.3, °C,°C
218,3/10/2021 12:20:56.102,Temperature {NONE},74.4, °C,°C
219,3/10/2021 12:20:57.104,Temperature {NONE},74.6, °C,°C
220,3/10/2021 12:20:58.105,Temperature {NONE},74.7, °C,°C
221,3/10/2021 12:20:59.106,Temperature {NONE},74.9, °C,°C
222,3/10/2021 12:21:00.107,Temperature {NONE},75.1, °C,°C
223,3/10/2021 12:21:01.107,Temperature {NONE},75.2, °C,°C
224,3/10/2021 12:21:02.108,Temperature {NONE},75.3, °C,°C
225,3/10/2021 12:21:03.109,Temperature {NONE},75.5, °C,°C
226,3/10/2021 12:21:04.111,Temperature {NONE},75.7, °C,°C
227,3/10/2021 12:21:05.111,Temperature {NONE},75.8, °C,°C
228,3/10/2021 12:21:06.111,Temperature {NONE},76.2, °C,°C
229,3/10/2021 12:21:07.113,Temperature {NONE},76.6, °C,°C
230,3/10/2021 12:21:08.114,Temperature {NONE},76.9, °C,°C
231,3/10/2021 12:21:09.115,Temperature {NONE},77.0, °C,°C
232,3/10/2021 12:21:10.116,Temperature {NONE},77.2, °C,°C
233,3/10/2021 12:21:11.118,Temperature {NONE},77.7, °C,°C
234,3/10/2021 12:21:12.119,Temperature {NONE},77.8, °C,°C
235,3/10/2021 12:21:13.121,Temperature {NONE},77.9, °C,°C
236,3/10/2021 12:21:14.122,Temperature {NONE},78.3, °C,°C
237,3/10/2021 12:21:15.123,Temperature {NONE},78.7, °C,°C
238,3/10/2021 12:21:16.124,Temperature {NONE},79.0, °C,°C
239,3/10/2021 12:21:17.126,Temperature {NONE},79.3, °C,°C
240,3/10/2021 12:21:18.127,Temperature {NONE},79.5, °C,°C
241,3/10/2021 12:21:19.128,Temperature {NONE},79.8, °C,°C
